DESCRIPCIÓN PRINCIPIO ACTIV,PRESENTACION,Fabricante,PRECIO MÁXIMO DE VENTA TRANSACCIÓN FINAL COMERCIAL
QUETIAPIN,SOLIDO,LEGRAND,NO REGULADO
QUETIAPIN,SOLIDO,PAULY,NO REGULADO
QUETIAPIN,SOLIDO,LAFRANCOL,NO REGULADO
QUETIAPIN,SOLIDO,GALENICUM HEALTH,NO REGULADO
QUETIAPIN,SOLIDO,HUMAX,NO REGULADO
QUETIAPIN,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
QUETIAPIN,SOLIDO,HETERO,NO REGULADO
QUETIAPIN,SOLIDO,AUROBINDO,NO REGULADO
QUETIAPIN,SOLIDO,WINTHROP,NO REGULADO
QUETIAPIN,SOLIDO,SANDOZ,NO REGULADO
QUETIAPIN,SOLIDO,ANDROMACO,NO REGULADO
QUETIAPIN,SOLIDO,SANOFI AVENTIS,NO REGULADO
QUETIAPIN,SOLIDO,BLASKOV,NO REGULADO
QUETIAPIN,SOLIDO,AMERICAN GENERICS,NO REGULADO
QUETIAPIN,SOLIDO,COLMED,NO REGULADO
QUETIAPIN,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
RIVASTIGMIN,SOLIDO,PROCAPS,NO REGULADO
RIVASTIGMIN,SOLIDO,HUMAX,NO REGULADO
RIVASTIGMIN,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
SOMATROPIN,SOLIDO,PFIZER,NO REGULADO
SOMATROPIN,SOLIDO,FERRING,NO REGULADO
SOMATROPIN,SOLIDO,BIO SIDUS,NO REGULADO
SOMATROPIN,LIQUIDO,SANDOZ,NO REGULADO
SOMATROPIN,LIQUIDO,NOVO NORDISK,NO REGULADO
SOMATROPIN,LIQUIDO,MERCK,NO REGULADO
SOMATROPIN,LIQUIDO,DONG A,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,MUNDIPHARMA,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,TECNOFAR,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,PROCAPS,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,SOPHIA,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,BIO ESTERIL,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,SYNTHESIS,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,BIOESTERIL,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,FARMALUX,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,ALLERGAN,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,VISIONEX,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,TECNOQUIMICAS,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,GIMED,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,SAVAL,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,VITALIS,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,I LAB,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,SCANDINAVIA PHARMA,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,XINETIX PHARMA,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,NOVARTIS,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,BLASKOV,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,LA SANTE,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,ESPECIALIDADES OFTMALMOLOGICAS,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,BLUEPHARMA,NO REGULADO
TIMOLOL COMBINACIONE,LIQUIDO,PFIZER,NO REGULADO
TIROFIBA,LIQUIDO/SOLIDO,VITACOR PHARMA,NO REGULADO
TIROFIBA,LIQUIDO/SOLIDO,SICMAFARMA,NO REGULADO
TIROFIBA,LIQUIDO/SOLIDO,ADVANCE SCIENTIFIC,NO REGULADO
TIROFIBA,LIQUIDO/SOLIDO,GENERICOS ESPAÑOLES,NO REGULADO
PRUCALOPRID,SOLIDO,JANSSEN,NO REGULADO
AGALSIDASA BET,LIQUIDO/SOLIDO,GENZYME,NO REGULADO
CANAGLIFLOZIN,SOLIDO,JANSSEN,NO REGULADO
ROMIPLOSTI,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
DARBEPOETINA ALF,LIQUIDO/SOLIDO,HETERO,NO REGULADO
RIOCIGUA,SOLIDO,THE LABS,NO REGULADO
CINACALCE,SOLIDO,VESALIUS PHARMA,NO REGULADO
CINACALCE,SOLIDO,STEIN,NO REGULADO
CINACALCE,SOLIDO,ALKEM,NO REGULADO
CINACALCE,SOLIDO,HETERO,NO REGULADO
CINACALCE,SOLIDO,LEGRAND,NO REGULADO
CINACALCE,SOLIDO,DR REDDYS,NO REGULADO
CEFTAROLINA FOSAMIL,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
RILPIVIRIN,SOLIDO,JANSSEN,NO REGULADO
"ELVITEGRAVIR, COBICISTAT, TENOFOVIR DISOPROXIL Y EMTRICITABIN",SOLIDO,GILEAD,NO REGULADO
PERTUZUMA,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
OBINUTUZUMA,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
CRIZOTINI,SOLIDO,PFIZER,NO REGULADO
IBRUTINI,SOLIDO,JANSSEN,NO REGULADO
VISMODEGI,SOLIDO,ROCHE,NO REGULADO
CARFILZOMI,LIQUIDO/SOLIDO,DR REDDY,NO REGULADO
CARFILZOMI,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
ENZALUTAMID,SOLIDO,TECNOQUIMICAS,NO REGULADO
ENZALUTAMID,SOLIDO,PROCAPS,NO REGULADO
ENZALUTAMID,SOLIDO,ASTELLAS,NO REGULADO
MIFAMURTID,LIQUIDO/SOLIDO,TAKEDA,NO REGULADO
BELIMUMA,LIQUIDO/SOLIDO,GLAXOSMITHKLINE,NO REGULADO
GOLIMUMA,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
CANAKINUMA,LIQUIDO/SOLIDO,NOVARTIS,NO REGULADO
PARECOXI,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
BENDAMUSTIN,LIQUIDO/SOLIDO,GENBIE,NO REGULADO
BENDAMUSTIN,LIQUIDO/SOLIDO,BLAU,NO REGULADO
BENDAMUSTIN,LIQUIDO/SOLIDO,LKM,NO REGULADO
BENDAMUSTIN,LIQUIDO/SOLIDO,KEMEX,NO REGULADO
BENDAMUSTIN,LIQUIDO/SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
BENDAMUSTIN,LIQUIDO/SOLIDO,AL PHARMA,NO REGULADO
BENDAMUSTIN,LIQUIDO/SOLIDO,XINETIX PHARMA,NO REGULADO
BENDAMUSTIN,LIQUIDO/SOLIDO,HETERO,NO REGULADO
BENDAMUSTIN,LIQUIDO/SOLIDO,LEGRAND,NO REGULADO
BENDAMUSTIN,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
ABIRATERON,SOLIDO,GLENMARK,NO REGULADO
ABIRATERON,SOLIDO,NEXT PHARMA,NO REGULADO
ABIRATERON,SOLIDO,LEGRAND,NO REGULADO
ABIRATERON,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
ABIRATERON,SOLIDO,DR REDDYS,NO REGULADO
ABIRATERON,SOLIDO,LKM,NO REGULADO
ABIRATERON,SOLIDO,JANSSEN,NO REGULADO
TAPENTADO,SOLIDO,LAFRANCOL,NO REGULADO
METFORMINA Y SAXAGLIPTIN,SOLIDO,ASTRAZENECA,NO REGULADO
VILANTEROL Y BROMURO DE UMECLIDINI,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
MACITENTA,SOLIDO,TECNOQUIMICAS,NO REGULADO
MACITENTA,SOLIDO,MSN,NO REGULADO
VORTIOXETIN,SOLIDO,LAFRANCOL,NO REGULADO
ULIPRISTA,SOLIDO,GEDEON RICHTER,NO REGULADO
APIXABA,SOLIDO,XINETIX PHARMA,NO REGULADO
APIXABA,SOLIDO,PFIZER,NO REGULADO
EPLERENON,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
EPLERENON,SOLIDO,LEGRAND,NO REGULADO
EPLERENON,SOLIDO,SYNTHESIS,NO REGULADO
EPLERENON,SOLIDO,PFIZER,NO REGULADO
COLISTIMETATO DE SODI,LIQUIDO/SOLIDO,XINETIX PHARMA,NO REGULADO
COLISTIMETATO DE SODI,LIQUIDO/SOLIDO,ANTIBIOTICOS DE COLOMBIA,NO REGULADO
COLISTIMETATO DE SODI,LIQUIDO/SOLIDO,AMAREY NOVAMEDICAL,NO REGULADO
COLISTIMETATO DE SODI,COLISTINA 346MG/1U,Inyectable/Inhalatoria x 10,NO REGULADO
COLISTIMETATO DE SODI,COLISTINA 346MG/1U,Inyectable/Inhalatoria x 1,NO REGULADO
COLISTIMETATO DE SODI,LIQUIDO/SOLIDO,BIOSPIFAR,NO REGULADO
AZACITIDIN,LIQUIDO/SOLIDO,XINETIX,NO REGULADO
AZACITIDIN,LIQUIDO/SOLIDO,NEXT PHARMA,NO REGULADO
AZACITIDIN,LIQUIDO/SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
AZACITIDIN,LIQUIDO/SOLIDO,KEMEX,NO REGULADO
AZACITIDIN,LIQUIDO/SOLIDO,LABORATORIO INTERNACIONAL ARGENTINO,NO REGULADO
AZACITIDIN,LIQUIDO/SOLIDO,INTAS,NO REGULADO
CABAZITAXE,LIQUIDO/SOLIDO,LKM,NO REGULADO
CABAZITAXE,LIQUIDO/SOLIDO,DR REDDYS,NO REGULADO
CLADRIBIN,LIQUIDO/SOLIDO,LIPOMED,NO REGULADO
DARIFENACIN,SOLIDO,LEGRAND,NO REGULADO
ELTROMBOPA,SOLIDO,THE LABS,NO REGULADO
ELTROMBOPA,SOLIDO,GENBIE,NO REGULADO
IRINOTECA,LIQUIDO/SOLIDO,HETERO,NO REGULADO
IRINOTECA,LIQUIDO/SOLIDO,SEVEN PHARMA,NO REGULADO
IRINOTECA,LIQUIDO/SOLIDO,LKM,NO REGULADO
IRINOTECA,LIQUIDO/SOLIDO,ROPSOHN,NO REGULADO
IRINOTECA,LIQUIDO/SOLIDO,UNIPHARM,NO REGULADO
IRINOTECA,LIQUIDO/SOLIDO,TUTEUR,NO REGULADO
IRINOTECA,LIQUIDO/SOLIDO,VENUS,NO REGULADO
IRINOTECA,LIQUIDO/SOLIDO,PINT PHARMA,NO REGULADO
IRINOTECA,LIQUIDO/SOLIDO,PISA,NO REGULADO
IRINOTECA,LIQUIDO/SOLIDO,FRESENIUS,NO REGULADO
IRINOTECA,LIQUIDO/SOLIDO,LIBRA,NO REGULADO
IRINOTECA,LIQUIDO/SOLIDO,BLAU,NO REGULADO
MESALAZIN,SOLIDO,HUMAX,NO REGULADO
MESALAZIN,LIQUIDO,HUMAX,NO REGULADO
MESALAZIN,LIQUIDO,FERRING,NO REGULADO
MESALAZIN,LIQUIDO,LABINCO,NO REGULADO
MESALAZIN,SOLIDO,TAKEDA,NO REGULADO
MESALAZIN,SOLIDO,FARMASER,NO REGULADO
MESALAZIN,SOLIDO,FAES FARMA,NO REGULADO
MESALAZIN,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
MESALAZIN,SOLIDO,LAFRANCOL,NO REGULADO
METOXIPOLIETILENGLICOL EPOETINA BET,"EPOETINA BETA 0,075MG/0,3ML (0,25MG/1ML)",Inyectable x 1,NO REGULADO
RANIBIZUMA,LIQUIDO/SOLIDO,NOVARTIS,NO REGULADO
RASAGILIN,SOLIDO,GENEPHARMA,NO REGULADO
RASAGILIN,SOLIDO,XINETIX,NO REGULADO
RASAGILIN,SOLIDO,ID PHARMA,NO REGULADO
RASAGILIN,SOLIDO,ALTADIS,NO REGULADO
RASAGILIN,SOLIDO,AXON,NO REGULADO
RASAGILIN,SOLIDO,BIOPAS,NO REGULADO
RASAGILIN,SOLIDO,XINETIX PHARMA,NO REGULADO
TENOFOVIR DISOPROXIL Y EMTRICITABIN,SOLIDO,VANTAGE GLOBAL,NO REGULADO
TENOFOVIR DISOPROXIL Y EMTRICITABIN,SOLIDO,THE LABS,NO REGULADO
TENOFOVIR DISOPROXIL Y EMTRICITABIN,SOLIDO,MYLAN,NO REGULADO
TENOFOVIR DISOPROXIL Y EMTRICITABIN,SOLIDO,CIPLA,NO REGULADO
TENOFOVIR DISOPROXIL Y EMTRICITABIN,SOLIDO,SALUSPHARMA,NO REGULADO
TENOFOVIR DISOPROXIL Y EMTRICITABIN,SOLIDO,FARMATECH,NO REGULADO
TENOFOVIR DISOPROXIL Y EMTRICITABIN,SOLIDO,CLINICOS Y HOSPITALARIOS,NO REGULADO
TENOFOVIR DISOPROXIL Y EMTRICITABIN,SOLIDO,HETERO,NO REGULADO
TENOFOVIR DISOPROXIL Y EMTRICITABIN,SOLIDO,LEGRAND,NO REGULADO
TENOFOVIR DISOPROXIL Y EMTRICITABIN,SOLIDO,AUROBINDO,NO REGULADO
TENOFOVIR DISOPROXIL Y EMTRICITABIN,SOLIDO,MEDISPRAY,NO REGULADO
TENOFOVIR DISOPROXIL Y EMTRICITABIN,SOLIDO,GILEAD,NO REGULADO
"EMTRICITABINA, TENOFOVIR DISOPROXIL Y RILPIVIRIN",SOLIDO,GILEAD,NO REGULADO
PEMBROLIZUMA,LIQUIDO/SOLIDO,MERCK SHARP DOME,NO REGULADO
LAMOTRIGIN,SOLIDO,EUROFARMA,NO REGULADO
LAMOTRIGIN,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
LAMOTRIGIN,SOLIDO,TECNOQUIMICAS,NO REGULADO
LAMOTRIGIN,SOLIDO,SANOFI AVENTIS,NO REGULADO
LAMOTRIGIN,SOLIDO,WINTHROP,NO REGULADO
LAMOTRIGIN,SOLIDO,SYNTHESIS,NO REGULADO
LAMOTRIGIN,SOLIDO,HUMAX,NO REGULADO
LAMOTRIGIN,SOLIDO,SANDOZ,NO REGULADO
LAMOTRIGIN,SOLIDO,PISA,NO REGULADO
LAMOTRIGIN,SOLIDO,PINT PHARMA,NO REGULADO
CLOPIDOGRE,SOLIDO,PAULY,NO REGULADO
CLOPIDOGRE,SOLIDO,MINTLAB,NO REGULADO
CLOPIDOGRE,SOLIDO,PISA,NO REGULADO
CLOPIDOGRE,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
CLOPIDOGRE,SOLIDO,LAPROFF,NO REGULADO
CLOPIDOGRE,SOLIDO,PENTACOOP,NO REGULADO
CLOPIDOGRE,SOLIDO,NTI NEW TRADE,NO REGULADO
CLOPIDOGRE,SOLIDO,LEGRAND,NO REGULADO
CLOPIDOGRE,SOLIDO,GENFAR,NO REGULADO
CLOPIDOGRE,SOLIDO,BIOQUIFAR,NO REGULADO
CLOPIDOGRE,SOLIDO,MEMPHIS,NO REGULADO
CLOPIDOGRE,SOLIDO,AMERICAN GENERICS,NO REGULADO
CLOPIDOGRE,SOLIDO,LA SANTE,NO REGULADO
CLOPIDOGRE,SOLIDO,TECNOQUIMICAS,NO REGULADO
CLOPIDOGRE,SOLIDO,PROCAPS,NO REGULADO
CLOPIDOGRE,SOLIDO,LAFRANCOL,NO REGULADO
TOPIRAMAT,SOLIDO,GALENICUM HEALTH,NO REGULADO
TOPIRAMAT,SOLIDO,MONTE VERDE,NO REGULADO
TOPIRAMAT,SOLIDO,SANDOZ,NO REGULADO
SUNITINI,SOLIDO,PFIZER,NO REGULADO
ORLISTA,SOLIDO,CHEPLAPHARM,NO REGULADO
ORLISTA,SOLIDO,GIMED,NO REGULADO
ORLISTA,SOLIDO,HERSON,NO REGULADO
ORLISTA,SOLIDO,BIOCHEM,NO REGULADO
ORLISTA,SOLIDO,JOINPHARM,NO REGULADO
ORLISTA,SOLIDO,COMERFAR,NO REGULADO
ORLISTA,SOLIDO,PATMAR,NO REGULADO
ORLISTA,SOLIDO,NOVAMED,NO REGULADO
ORLISTA,SOLIDO,BIOQUIMICO PHARMA,NO REGULADO
ORLISTA,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
ORLISTA,SOLIDO,COASPHARMA,NO REGULADO
ORLISTA,SOLIDO,PISA,NO REGULADO
ORLISTA,SOLIDO,GRUFARMA,NO REGULADO
ORLISTA,SOLIDO,MATPRIFAR,NO REGULADO
ORLISTA,SOLIDO,FARMA,NO REGULADO
ORLISTA,SOLIDO,PROCAPS,NO REGULADO
ORLISTA,SOLIDO,ECAR,NO REGULADO
ORLISTA,SOLIDO,GALENO QUIMICA,NO REGULADO
ORLISTA,SOLIDO,LA SANTE,NO REGULADO
ORLISTA,SOLIDO,BUSSIÉ,NO REGULADO
ORLISTA,SOLIDO,GENFAR,NO REGULADO
ORLISTA,SOLIDO,LAFRANCOL,NO REGULADO
CILOSTAZO,SOLIDO,GALENICUM HEALTH,NO REGULADO
CILOSTAZO,SOLIDO,MK,NO REGULADO
CILOSTAZO,SOLIDO,MATPRIFAR,NO REGULADO
IVABRADIN,SOLIDO,SICMAFARMA,NO REGULADO
IVABRADIN,SOLIDO,CIPLA,NO REGULADO
IVABRADIN,IVABRADINA 5MG/1U,Oral x 28,NO REGULADO
IVABRADIN,IVABRADINA 5MG/1U,Oral x 14,NO REGULADO
VALSARTA,SOLIDO,NOVARTIS,NO REGULADO
VALSARTA,SOLIDO,LABORATORIOS MINTLAB,NO REGULADO
VALSARTA,SOLIDO,MERCK,NO REGULADO
VALSARTA,SOLIDO,SIEGFRIED,NO REGULADO
VALSARTA,SOLIDO,HETERO,NO REGULADO
VALSARTA,SOLIDO,SALUSPHARMA,NO REGULADO
VALSARTA,SOLIDO,ALTADIS,NO REGULADO
VALSARTA,SOLIDO,GALENICUM HEALTH,NO REGULADO
VALSARTA,SOLIDO,FARMA,NO REGULADO
VALSARTA,SOLIDO,DUMIAN,NO REGULADO
VALSARTA,SOLIDO,EUROFARMA,NO REGULADO
VALSARTA,SOLIDO,LEGRAND,NO REGULADO
VALSARTA,SOLIDO,HUMAX,NO REGULADO
VALSARTA,SOLIDO,COASPHARMA,NO REGULADO
VALSARTA,SOLIDO,GENFAR,NO REGULADO
VALSARTA,SOLIDO,LA SANTE,NO REGULADO
VALSARTA,SOLIDO,AMERICAN GENERICS,NO REGULADO
VALSARTA,SOLIDO,PROCAPS,NO REGULADO
VALSARTA,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
VALSARTA,SOLIDO,LAFRANCOL,NO REGULADO
VALSARTA,SOLIDO,MK,NO REGULADO
CANDESARTA,SOLIDO,LAFRANCOL,NO REGULADO
CANDESARTA,SOLIDO,BLUEPHARMA,NO REGULADO
CANDESARTA,SOLIDO,SAVAL,NO REGULADO
CANDESARTA,SOLIDO,TECNOQUIMICAS,NO REGULADO
CANDESARTA,SOLIDO,AMERICAN GENERICS,NO REGULADO
CANDESARTA,SOLIDO,GENFAR,NO REGULADO
CANDESARTA,SOLIDO,LA SANTE,NO REGULADO
FENOFIBRAT,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
FENOFIBRAT,SOLIDO,SIEGFRIED,NO REGULADO
FENOFIBRAT,SOLIDO,MATPRIFAR,NO REGULADO
FENOFIBRAT,SOLIDO,SYNTHESIS,NO REGULADO
CIPROFIBRAT,SOLIDO,TECNOQUIMICAS,NO REGULADO
CIPROFIBRAT,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
CABERGOLIN,SOLIDO,MK,NO REGULADO
CABERGOLIN,SOLIDO,BLUEPHARMA,NO REGULADO
CABERGOLIN,SOLIDO,SIEGFRIED,NO REGULADO
DUTASTERID,SOLIDO,CIPLA,NO REGULADO
DUTASTERID,SOLIDO,LEGRAND,NO REGULADO
DUTASTERID,SOLIDO,GALENICUM HEALTH,NO REGULADO
DUTASTERID,SOLIDO,LAFRANCOL,NO REGULADO
DEFLAZACOR,SOLIDO,INCOBRA,NO REGULADO
DEFLAZACOR,SOLIDO,LAPROFF,NO REGULADO
DEFLAZACOR,SOLIDO,NEVOX,NO REGULADO
DEFLAZACOR,SOLIDO,FAES FARMA,NO REGULADO
DEFLAZACOR,SOLIDO,AMERICAN GENERICS,NO REGULADO
DEFLAZACOR,SOLIDO,LEGRAND,NO REGULADO
DEFLAZACOR,SOLIDO,GENFAR,NO REGULADO
DEFLAZACOR,SOLIDO,BIOQUIFAR,NO REGULADO
DEFLAZACOR,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
DEFLAZACOR,SOLIDO,TECNOQUIMICAS,NO REGULADO
DARUNAVI,SOLIDO,LAFRANCOL,NO REGULADO
DARUNAVI,SOLIDO,CLINICOS Y HOSPITALARIOS,NO REGULADO
DARUNAVI,SOLIDO,LEGRAND,NO REGULADO
DARUNAVI,SOLIDO,MYLAN,NO REGULADO
DARUNAVI,SOLIDO,HUMAX,NO REGULADO
DARUNAVI,SOLIDO,CIPLA,NO REGULADO
DARUNAVI,SOLIDO,VANTAGE GLOBAL,NO REGULADO
DARUNAVI,SOLIDO,THE LABS,NO REGULADO
DARUNAVI,SOLIDO,BALANCE,NO REGULADO
DARUNAVI,SOLIDO,SALUSPHARMA,NO REGULADO
DARUNAVI,SOLIDO,HETERO,NO REGULADO
DARUNAVI,SOLIDO,JANSSEN,NO REGULADO
ENTECAVI,SOLIDO,LEGRAND,NO REGULADO
ENTECAVI,SOLIDO,XINETIX PHARMA,NO REGULADO
ENTECAVI,SOLIDO,XINETIX,NO REGULADO
ENTECAVI,SOLIDO,HETERO,NO REGULADO
ENTECAVI,SOLIDO,CIPLA,NO REGULADO
ENTECAVI,SOLIDO,LAFRANCOL,NO REGULADO
ENTECAVI,SOLIDO,BRISTOL MYERS SQUIBB,NO REGULADO
ETRAVIRIN,SOLIDO,JANSSEN,NO REGULADO
ERLOTINI,SOLIDO,LEGRAND,NO REGULADO
ERLOTINI,SOLIDO,CIPLA,NO REGULADO
ERLOTINI,SOLIDO,WILLOW,NO REGULADO
ERLOTINI,SOLIDO,LKM,NO REGULADO
ERLOTINI,SOLIDO,WILLOW PHARMA,NO REGULADO
ERLOTINI,SOLIDO,ROCHE,NO REGULADO
LETROZO,SOLIDO,EUROFARMA,NO REGULADO
LETROZO,SOLIDO,ALTADIS,NO REGULADO
LETROZO,SOLIDO,LEGRAND,NO REGULADO
LETROZO,SOLIDO,CIPLA,NO REGULADO
LETROZO,SOLIDO,NOVAMED,NO REGULADO
LETROZO,SOLIDO,HETERO,NO REGULADO
LETROZO,SOLIDO,HB HUMAN BIOSCIENCE,NO REGULADO
LETROZO,SOLIDO,SEVEN PHARMA,NO REGULADO
LETROZO,SOLIDO,CALIER,NO REGULADO
LETROZO,SOLIDO,HEALTH NET,NO REGULADO
LETROZO,SOLIDO,PINT PHARMA,NO REGULADO
RISEDRONICO  ACID,SOLIDO,AMERICAN GENERICS,NO REGULADO
RISEDRONICO  ACID,SOLIDO,SANOFI AVENTIS,NO REGULADO
RISEDRONICO  ACID,SOLIDO,MK,NO REGULADO
GABAPENTI,SOLIDO,NORMON,NO REGULADO
GABAPENTI,SOLIDO,SIEGFRIED,NO REGULADO
GABAPENTI,SOLIDO,MK,NO REGULADO
ARIPIPRAZO,SOLIDO,LA SANTE,NO REGULADO
ARIPIPRAZO,SOLIDO,HETERO,NO REGULADO
ARIPIPRAZO,SOLIDO,GALENICUM,NO REGULADO
ARIPIPRAZO,SOLIDO,ALTADIS,NO REGULADO
ARIPIPRAZO,SOLIDO,KERN PHARMA,NO REGULADO
ARIPIPRAZO,SOLIDO,SIEGFRIED,NO REGULADO
ARIPIPRAZO,SOLIDO,HUMAX,NO REGULADO
ARIPIPRAZO,SOLIDO,BUSSIÉ,NO REGULADO
ARIPIPRAZO,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
TREPROSTINIL,LIQUIDO,FERRER,NO REGULADO
MIRTAZAPIN,SOLIDO,BLUEPHARMA,NO REGULADO
MIRTAZAPIN,SOLIDO,SALUSPHARMA,NO REGULADO
MIRTAZAPIN,SOLIDO,ALTADIS,NO REGULADO
MIRTAZAPIN,SOLIDO,TECNOQUIMICAS,NO REGULADO
MIRTAZAPIN,SOLIDO,HUMAX,NO REGULADO
MIRTAZAPIN,SOLIDO,WINTHROP,NO REGULADO
MIRTAZAPIN,SOLIDO,SANDOZ,NO REGULADO
MIRTAZAPIN,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
MIRTAZAPIN,SOLIDO,PROCAPS,NO REGULADO
MIRTAZAPIN,SOLIDO,MONTE VERDE,NO REGULADO
BUPROPIO,SOLIDO,EUROFARMA,NO REGULADO
DULOXETIN,SOLIDO,MOMENTA,NO REGULADO
DULOXETIN,SOLIDO,COLMED,NO REGULADO
DULOXETIN,SOLIDO,HETERO,NO REGULADO
DULOXETIN,SOLIDO,LEGRAND,NO REGULADO
DULOXETIN,SOLIDO,AUROBINDO,NO REGULADO
DULOXETIN,SOLIDO,GLOBAL MARKETING FARMACEUTICA,NO REGULADO
DULOXETIN,SOLIDO,BUSSIÉ,NO REGULADO
DULOXETIN,SOLIDO,SYNTHESIS,NO REGULADO
DULOXETIN,SOLIDO,ANDROMACO,NO REGULADO
DULOXETIN,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
DONEPEZI,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
DONEPEZI,SOLIDO,PINT PHARMA,NO REGULADO
DONEPEZI,SOLIDO,SYNTHESIS,NO REGULADO
DONEPEZI,SOLIDO,HETERO,NO REGULADO
DONEPEZI,SOLIDO,SANICOL,NO REGULADO
DONEPEZI,SOLIDO,MATPRIFAR,NO REGULADO
DONEPEZI,SOLIDO,LA SANTE,NO REGULADO
DONEPEZI,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
DONEPEZI,SOLIDO,MEGALABS,NO REGULADO
DONEPEZI,SOLIDO,ANDROMACO,NO REGULADO
MONTELUKAS,SOLIDO,MERCK SHARP DOME,NO REGULADO
MONTELUKAS,SOLIDO,EUROFARMA,NO REGULADO
MONTELUKAS,SOLIDO,HERSON,NO REGULADO
MONTELUKAS,SOLIDO,HETERO,NO REGULADO
MONTELUKAS,SOLIDO,MATPRIFAR,NO REGULADO
MONTELUKAS,SOLIDO,MOMENTA,NO REGULADO
MONTELUKAS,SOLIDO,CIPLA,NO REGULADO
MONTELUKAS,SOLIDO,NOVAMED,NO REGULADO
MONTELUKAS,SOLIDO,UNIPHARM,NO REGULADO
MONTELUKAS,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
MONTELUKAS,SOLIDO,SANDOZ,NO REGULADO
MONTELUKAS,SOLIDO,COASPHARMA,NO REGULADO
MONTELUKAS,SOLIDO,PATMAR,NO REGULADO
MONTELUKAS,SOLIDO,SANOFI AVENTIS,NO REGULADO
MONTELUKAS,SOLIDO,AMERICAN GENERICS,NO REGULADO
MONTELUKAS,SOLIDO,TECNOQUIMICAS,NO REGULADO
MONTELUKAS,SOLIDO,LABINCO,NO REGULADO
MONTELUKAS,SOLIDO,WINTHROP,NO REGULADO
MONTELUKAS,SOLIDO,MEMPHIS,NO REGULADO
MONTELUKAS,SOLIDO,SIEGFRIED,NO REGULADO
MONTELUKAS,SOLIDO,PROCAPS,NO REGULADO
MONTELUKAS,SOLIDO,BUSSIÉ,NO REGULADO
MONTELUKAS,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
MONTELUKAS,SOLIDO,GENFAR,NO REGULADO
MONTELUKAS,SOLIDO,LA SANTE,NO REGULADO
MONTELUKAS,SOLIDO,GRUFARMA,NO REGULADO
MONTELUKAS,SOLIDO,LAFRANCOL,NO REGULADO
PILOCARPIN,SOLIDO,LAFRANCOL,NO REGULADO
PILOCARPIN,SOLIDO,NOVAMED,NO REGULADO
