NOMBRE DEL PRODUCTO FARMACÉUTIC,TIPO DE FÁRMACO,Nombre del laboratorio ofertante,Estado,Principio activo o asociación de principios activos,Tratamiento de larga duración
CADELIUS D,MEDICAMENTO ETICA,ESPECIALIDADES FARMACEUTICAS CENTRUM S.A.,ALTA,"COLECALCIFEROL,CALCIO CARBONATO",NO
OSMILLE D,MEDICAMENTO ETICA,"EFFIK, S.A.",ALTA,"CALCIO CARBONATO,COLECALCIFEROL",NO
DESLORATADINA QUALIGEN,MEDICAMENTO GENERICO,"NEURAXPHARM SPAIN, S.L.U",BAJA GENERAL,DESLORATADINA,NO
CIPROFLOXACINO RATIO,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",BAJA GENERAL,CIPROFLOXACINO HIDROCLORURO,NO
KYTRIL,MEDICAMENTO ETICA,ATNAHS PHARMA NETHERLANDS B.V.,ALTA,GRANISETRON,NO
XELEVIA,MEDICAMENTO ETICA,"LABORATORIOS FARMACEUTICOS  ROVI, S.A.",ALTA,SITAGLIPTINA FOSFATO MONOHIDRATO,NO
LIPEMOL,MEDICAMENTO ETICA,"BRISTOL-MYERS SQUIBB, S.A",BAJA GENERAL,PRAVASTATINA SODICA,SI
TOLTERODINA NEO TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,TOLTERODINA TARTRATO,NO
LACEROL HTA RETARD,MEDICAMENTO ETICA,"LACER,S.A.",ALTA,DILTIAZEM HIDROCLORURO,SI
TRAMADOL/PARACETAMOL KRKA,MEDICAMENTO ETICA,KRKA D.D. NOVO MESTO,ALTA,"PARACETAMOL,TRAMADOL HIDROCLORURO",NO
VALACICLOVIR COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,VALACICLOVIR  HIDROCLORURO,NO
ANAGASTRA,MEDICAMENTO ETICA,"ELAM PHARMA LABS, S.L.",ALTA,PANTOPRAZOL,NO
ITRACONAZOL ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,ITRACONAZOL,NO
CIPROFLOXACINO STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,CIPROFLOXACINO,NO
AMOXICILINA CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,AMOXICILINA TRIHIDRATO,NO
AMOXICILINA CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,AMOXICILINA,NO
AMOXICILINA/ACIDO CLAVULANICO ARDINECLAV ,MEDICAMENTO GENERICO,REIG JOFRE S.A.,ALTA,"CLAVULANATO POTASIO,AMOXICILINA TRIHIDRATO",NO
AMOXICILINA/ACIDO CLAVULANICO ARDINECLAV,MEDICAMENTO GENERICO,REIG JOFRE S.A.,ALTA,"AMOXICILINA TRIHIDRATO,CLAVULANATO POTASIO",NO
AMOXICILINA/ACIDO CLAVULANICO ARDINECLAV ,MEDICAMENTO GENERICO,REIG JOFRE S.A.,ALTA,"AMOXICILINA TRIHIDRATO,CLAVULANATO POTASIO",NO
AMOXICILINA PENSA,MEDICAMENTO GENERICO,"TOWA PHARMACEUTICAL, S.A.",BAJA GENERAL,AMOXICILINA TRIHIDRATO,NO
CEFUROXIMA PENSA,MEDICAMENTO GENERICO,"TOWA PHARMACEUTICAL, S.A.",ALTA,CEFUROXIMA AXETILO,NO
CIPROFLOXACINO PENSA,MEDICAMENTO GENERICO,"TOWA PHARMACEUTICAL, S.A.",ALTA,CIPROFLOXACINO HIDROCLORURO,NO
LEVOFLOXACINO PENSA,MEDICAMENTO GENERICO,"TOWA PHARMACEUTICAL, S.A.",ALTA,LEVOFLOXACINO,NO
AMOXICILINA NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,AMOXICILINA TRIHIDRATO,NO
CEFUROXIMA QUALIGEN,MEDICAMENTO GENERICO,"NEURAXPHARM SPAIN, S.L.U",BAJA GENERAL,CEFUROXIMA AXETILO,NO
AMOXICILINA/ACIDO CLAVULANICO CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,"AMOXICILINA,CLAVULANICO ACIDO",NO
AMOXICILINA/ACIDO CLAVULANICO CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,"CLAVULANICO ACIDO,AMOXICILINA TRIHIDRATO",NO
AMOXICILINA/ACIDO CLAVULANICO CINFAMED,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,"CLAVULANATO POTASIO,AMOXICILINA TRIHIDRATO",NO
AMOXICILINA/ACIDO CLAVULANICO CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,"AMOXICILINA TRIHIDRATO,CLAVULANATO POTASIO",NO
MICLAST,MEDICAMENTO ETICA,PIERRE FABRE IBERICA S.A.,BAJA GENERAL,CICLOPIROX OLAMINA,NO
TOLURA,MEDICAMENTO GENERICO,KRKA D.D. NOVO MESTO,BAJA POR NO COMERCIALIZAR,TELMISARTAN,NO
TESAVEL,MEDICAMENTO ETICA,"ALMIRALL, S.A.",ALTA,SITAGLIPTINA FOSFATO MONOHIDRATO,NO
MONUROL,MEDICAMENTO GENERICO,ZAMBON S.A.U.,ALTA,FOSFOMICINA TROMETAMOL,NO
LEVETIRACETAM TARBIS,MEDICAMENTO GENERICO,"TARBIS FARMA, S.L.",ALTA,LEVETIRACETAM,NO
AMOXICILINA KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",BAJA GENERAL,AMOXICILINA TRIHIDRATO,NO
AMOXICILINA/ACIDO CLAVULANICO KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,"AMOXICILINA TRIHIDRATO,CLAVULANATO POTASIO",NO
CEFUROXIMA KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,CEFUROXIMA AXETILO,NO
CLARITROMICINA KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,CLARITROMICINA,NO
LEVOFLOXACINO KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,LEVOFLOXACINO HEMIHIDRATO,NO
LEVOFLOXACINO QUALIGEN,MEDICAMENTO GENERICO,"NEURAXPHARM SPAIN, S.L.U",ALTA,LEVOFLOXACINO HEMIHIDRATO,NO
VESICARE,MEDICAMENTO ETICA,"ELAM PHARMA LABS, S.L.",BAJA GENERAL,SOLIFENACINA SUCCINATO,NO
DOXIPIL,MEDICAMENTO ETICA,REIG JOFRE S.A.,BAJA POR NO COMERCIALIZAR,DOXICICLINA,NO
CIPROFLOXACINO TAUCIP,MEDICAMENTO GENERICO,SIGMA-TAU ESPAÑA S.A.,BAJA GENERAL,CIPROFLOXACINO HIDROCLORURO,NO
CLARITROMICINA  ALTER,MEDICAMENTO GENERICO,ALTER S.A.,BAJA GENERAL,CLARITROMICINA,NO
CIPROFLOXACINO ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,CIPROFLOXACINO HIDROCLORURO,NO
LEVOFLOXACINO STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,LEVOFLOXACINO,NO
DENVAR,MEDICAMENTO ETICA,"MERCK, S.L",ALTA,CEFIXIMA,NO
AMOXICILINA/ACIDO CLAVULANICO SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,"AMOXICILINA TRIHIDRATO,CLAVULANATO POTASIO",NO
AMOXICILINA/ACIDO CLAVULANICO SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,"CLAVULANATO POTASIO,AMOXICILINA TRIHIDRATO",NO
AMOXICILINA ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA POR NO COMERCIALIZAR,AMOXICILINA TRIHIDRATO,NO
CIPROFLOXACINO ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA GENERAL,CIPROFLOXACINO,NO
AMOXICILINA/ACIDO CLAVULANICO ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA POR NO COMERCIALIZAR,"CLAVULANICO ACIDO,AMOXICILINA",NO
CLARITROMICINA ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA POR NO COMERCIALIZAR,CLARITROMICINA,NO
ZAYASEL ,MEDICAMENTO GENERICO,"SALVAT, S.A.",ALTA,TERAZOSINA HIDROCLORURO,SI
ZAYASEL ,MEDICAMENTO GENERICO,"SALVAT, S.A.",ALTA,TERAZOSINA HIDROCLORURO DIHIDRATO,SI
ZAYASEL ,MEDICAMENTO GENERICO,"SALVAT, S.A.",BAJA GENERAL,TERAZOSINA HIDROCLORURO DIHIDRATO,SI
QUETIAPINA NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,QUETIAPINA HEMIFUMARATO,NO
TRANKIMAZIN,MEDICAMENTO ETICA,"VIATRIS  HEALTHCARE, S.L.",ALTA,ALPRAZOLAM,NO
GLIMEPIRIDA AUROBINDO,MEDICAMENTO GENERICO,"AUROBINDO, S.L.U",BAJA GENERAL,GLIMEPIRIDA,NO
LANSOPRAZOL FLAS VIATRIS,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,LANSOPRAZOL,NO
MOMETASONA SANDOZ,MEDICAMENTO ETICA,"SANDOZ FARMACEUTICA, S.A",ALTA,MOMETASONA FUROATO,NO
AMOXICILINA BENEL,MEDICAMENTO GENERICO,"DERMOGEN FARMA, S.A",SUSPENSION TEMPORAL GENERAL,AMOXICILINA TRIHIDRATO,NO
CIPROFLOXACINO MABO,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",SUSPENSION TEMPORAL GENERAL,CIPROFLOXACINO,NO
AMOXICILINA/ACIDO CLAVULANICO RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",BAJA POR NO COMERCIALIZAR,"CLAVULANATO POTASIO,AMOXICILINA TRIHIDRATO",NO
AMOXICILINA/ACIDO CLAVULANICO RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",BAJA POR NO COMERCIALIZAR,"AMOXICILINA TRIHIDRATO,CLAVULANATO POTASIO",NO
AMOXICILINA/ ACIDO CLAVULANICO APOTEX,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",BAJA POR NO COMERCIALIZAR,"CLAVULANATO POTASIO,AMOXICILINA TRIHIDRATO",NO
ZINNAT,MEDICAMENTO ETICA,"BEXAL FARMACEUTICA, S.A.",ALTA,CEFUROXIMA AXETILO,NO
CLAMOXYL,MEDICAMENTO ETICA,"GLAXOSMITHKLINE, S.A.",ALTA,AMOXICILINA TRIHIDRATO,NO
CLAMOXYL,MEDICAMENTO ETICA,"GLAXOSMITHKLINE, S.A.",BAJA GENERAL,AMOXICILINA TRIHIDRATO,NO
CEFUROXIMA CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,CEFUROXIMA AXETILO,NO
AMOXICILINA/ ACIDO CLAVULANICO APOTEX,MEDICAMENTO GENERICO,"APOTEX ESPAÑA, S.L",BAJA GENERAL,"AMOXICILINA TRIHIDRATO,CLAVULANATO POTASIO",NO
ITRACONAZOL CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,ITRACONAZOL,NO
AMOXICILINA/ACIDO CLAVULANICO DERMOGEN,MEDICAMENTO GENERICO,"DERMOGEN FARMA, S.A",BAJA POR NO COMERCIALIZAR,"CLAVULANATO POTASIO,AMOXICILINA TRIHIDRATO",NO
AMOXICILINA/ACIDO CLAVULANICO DERMOGEN,MEDICAMENTO GENERICO,"DERMOGEN FARMA, S.A",BAJA POR NO COMERCIALIZAR,"AMOXICILINA TRIHIDRATO,CLAVULANATO POTASIO",NO
CLARITROMICINA DERMOGEN,MEDICAMENTO GENERICO,"DERMOGEN FARMA, S.A",BAJA POR NO COMERCIALIZAR,CLARITROMICINA,NO
CIPROFLOXACINO DERMOGEN,MEDICAMENTO GENERICO,"DERMOGEN FARMA, S.A",BAJA GENERAL,CIPROFLOXACINO HIDROCLORURO,NO
VIBRACINA CAPSULAS,MEDICAMENTO ETICA,"PFIZER, S.L",ALTA,DOXICICLINA HICLATO,NO
ITRACONAZOL SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,ITRACONAZOL,NO
CEFUROXIMA STADA GENERICOS,MEDICAMENTO GENERICO,"STADA GENERICOS, S.L",ALTA,CEFUROXIMA AXETILO,NO
CIPROFLOXACINO DERMOGEN,MEDICAMENTO GENERICO,"DERMOGEN FARMA, S.A",SUSPENSION TEMPORAL GENERAL,CIPROFLOXACINO HIDROCLORURO,NO
VESICARE ,MEDICAMENTO ETICA,"ELAM PHARMA LABS, S.L.",BAJA GENERAL,SOLIFENACINA SUCCINATO,NO
PRAMIPEXOL AUROVITAS,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",BAJA POR NO COMERCIALIZAR,PRAMIPEXOL DIHIDROCLORURO MONOHIDRATO,NO
DONEPEZILO FLAS TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,BAJA POR NO COMERCIALIZAR,DONEPEZILO HIDROCLORURO,NO
DONEPEZILO FLAS TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,DONEPEZILO HIDROCLORURO,NO
DONEPEZILO FLAS ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA POR NO COMERCIALIZAR,DONEPEZILO HIDROCLORURO,NO
DESLORATADINA VIR,MEDICAMENTO GENERICO,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,DESLORATADINA,NO
DESLORATADINA VIR,MEDICAMENTO GENERICO,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",BAJA POR NO COMERCIALIZAR,DESLORATADINA,NO
DOSIL CAPSULAS,MEDICAMENTO ETICA,LLORENS S.L,ALTA,DOXICICLINA HICLATO,NO
AMOXICILINA TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,AMOXICILINA TRIHIDRATO,NO
DOSIL ENZIMATICO CAPSULAS,MEDICAMENTO ETICA,LLORENS S.L,BAJA GENERAL,"TRIPSINA,DOXICICLINA HICLATO,QUIMOTRIPSINA",NO
AMOXICILINA/ACIDO CLAVULANICO TEVAGEN,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,"AMOXICILINA TRIHIDRATO,CLAVULANATO POTASIO",NO
AMOXICILINA/ACIDO CLAVULANICO TEVAGEN,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,"CLAVULANATO POTASIO,AMOXICILINA TRIHIDRATO",NO
CLARITROMICINA MYLAN,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",BAJA GENERAL,CLARITROMICINA,NO
AMOXICILINA/ ACIDO CLAVULANICO VIATRIS,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,"CLAVULANATO POTASIO,AMOXICILINA TRIHIDRATO",NO
AMOXICILINA/ ACIDO CLAVULANICO VIATRIS,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,"AMOXICILINA TRIHIDRATO,CLAVULANATO POTASIO",NO
ITRACONAZOL MYLAN,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,ITRACONAZOL,NO
AMOXICILINA RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,AMOXICILINA TRIHIDRATO,NO
AMOXICILINA/ACIDO CLAVULANICO RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,"CLAVULANATO POTASIO,AMOXICILINA TRIHIDRATO",NO
LEVOFLOXACINO VIATRIS,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,LEVOFLOXACINO HEMIHIDRATO,NO
CLAMOXYL,MEDICAMENTO ETICA,"GLAXOSMITHKLINE, S.A.",BAJA GENERAL,AMOXICILINA,NO
CIPROFLOXACINO NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,CIPROFLOXACINO HIDROCLORURO,NO
ZINNAT,MEDICAMENTO ETICA,"GLAXOSMITHKLINE, S.A.",SUSPENSION TEMPORAL GENERAL,CEFUROXIMA AXETILO,NO
AMOXICILINA J. Y A. SABATER,MEDICAMENTO ETICA,"GENERFARMA, S.L.U.",ALTA,AMOXICILINA TRIHIDRATO,NO
CEFADROXILO J Y A SABATER CAPSULAS,MEDICAMENTO ETICA,"GENERFARMA, S.L.U.",ALTA,CEFADROXILO MONOHIDRATO,NO
LEVOFLOXACINO SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,LEVOFLOXACINO HEMIHIDRATO,NO
AMOXICILINA/ACIDO CLAVULANICO AUROVITAS PHARMA,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",BAJA POR NO COMERCIALIZAR,"CLAVULANATO POTASIO,AMOXICILINA TRIHIDRATO",NO
AMOXICILINA/ACIDO CLAVULANICO AUROVITAS PHARMA,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",ALTA,"AMOXICILINA TRIHIDRATO,CLAVULANATO POTASIO",NO
IRBESARTAN VISO FARMACEUTICA,MEDICAMENTO GENERICO,"VISO FARMACEUTICA, S.L.",BAJA GENERAL,IRBESARTAN,NO
IRBESARTAN/HIDROCLOROTIAZIDA VISO FARMACEUTICA,MEDICAMENTO GENERICO,"VISO FARMACEUTICA, S.L.",BAJA GENERAL,"IRBESARTAN,HIDROCLOROTIAZIDA",NO
IRBESARTAN/HIDROCLOROTIAZIDA VISO FARMACEUTICA,MEDICAMENTO GENERICO,"VISO FARMACEUTICA, S.L.",BAJA GENERAL,"HIDROCLOROTIAZIDA,IRBESARTAN",NO
VENLAFAXINA RETARD MYLAN PHARMACEUTICALS,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",BAJA GENERAL,VENLAFAXINA  HIDROCLORURO,NO
RABEPRAZOL MABO,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",BAJA GENERAL,RABEPRAZOL SODICO,NO
RIZATRIPTAN FLAS QUALIGEN,MEDICAMENTO GENERICO,"NEURAXPHARM SPAIN, S.L.U",ALTA,RIZATRIPTAN BENZOATO,NO
TOLTERODINA NEO RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,TOLTERODINA TARTRATO,NO
RABEPRAZOL SUN,MEDICAMENTO GENERICO,"SUN PHARMA LABORATORIOS, S.L",ALTA,RABEPRAZOL SODICO,NO
ANAFRANIL,MEDICAMENTO ETICA,"ALFASIGMA ESPAÑA, S.L.",ALTA,CLOMIPRAMINA HIDROCLORURO,NO
REPAGLINIDA KRKA,MEDICAMENTO GENERICO,KRKA D.D. NOVO MESTO,ALTA,REPAGLINIDA,NO
PENILEVEL,MEDICAMENTO ETICA,LABORATORIOS ERN S.A.,ALTA,FENOXIMETILPENICILINA POTASICA,NO
ALMOTRIPTAN MYLAN,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,ALMOTRIPTAN,NO
LISINOPRIL HIDROCLOROTIAZIDA CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,"HIDROCLOROTIAZIDA,LISINOPRIL DIHIDRATO",NO
VEREZANA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,"ETINILESTRADIOL,DIENOGEST",NO
VEREZANA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,"DIENOGEST,ETINILESTRADIOL",NO
QUETIAPINA KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,QUETIAPINA HEMIFUMARATO,NO
CALCITONINA ALMIRALL,MEDICAMENTO ETICA,"ALMIRALL, S.A.",ALTA,CALCITONINA SALMON SINTETICA,NO
PRAVASTATINA STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,PRAVASTATINA SODICA,SI
RALOXIFENO TARBIS,MEDICAMENTO GENERICO,"TARBIS FARMA, S.L.",BAJA POR NO COMERCIALIZAR,RALOXIFENO HIDROCLORURO,NO
RAMIPRIL ALTER,MEDICAMENTO GENERICO,ALTER S.A.,BAJA GENERAL,RAMIPRIL,SI
RABEPRAZOL ALMUS,MEDICAMENTO GENERICO,"ALMUS FARMACEUTICA, S.A.U.",ALTA,RABEPRAZOL SODICO,NO
RABEPRAZOL ALMUS,MEDICAMENTO GENERICO,"ALMUS FARMACEUTICA, S.A.U.",SUSPENSION TEMPORAL GENERAL,RABEPRAZOL SODICO,NO
AMOXICILINA/ACIDO CLAVULANICO ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA POR NO COMERCIALIZAR,"AMOXICILINA,CLAVULANICO ACIDO",NO
LEVOFLOXACINO APOTEX,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",BAJA POR NO COMERCIALIZAR,LEVOFLOXACINO HEMIHIDRATO,NO
AVARIC,MEDICAMENTO ETICA,"ANGELINI PHARMA ESPAÑA,S.L",ALTA,FENTANILO CITRATO,NO
ACIDOS OMEGA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,ACIDOS OMEGA 3 ESTERES ETILICOS,NO
CLOPIDOGREL AUROVITAS,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",ALTA,CLOPIDOGREL HIDROGENOSULFATO,NO
DONEPEZILO DURBAN,MEDICAMENTO GENERICO,"FRANCISCO DURBAN, S.A.",ALTA,DONEPEZILO HIDROCLORURO,NO
HONGOSERIL,MEDICAMENTO ETICA,ISDIN S.A.,ALTA,ITRACONAZOL,NO
CANADIOL,MEDICAMENTO ETICA,"ESTEVE PHARMACEUTICALS, S.A.",ALTA,ITRACONAZOL,NO
FAMCICLOVIR TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,BAJA POR NO COMERCIALIZAR,FAMCICLOVIR,NO
LEVOFLOXACINO TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,LEVOFLOXACINO HEMIHIDRATO,NO
TEBARAT,MEDICAMENTO ETICA,"SALVAT, S.A.",ALTA,AZELASTINA HIDROCLORURO,NO
EXEMESTANO WINADOL,MEDICAMENTO GENERICO,FARMALIDER S.A.,ALTA,EXEMESTANO,NO
EXEMESTANO FARMALIDER,MEDICAMENTO GENERICO,FARMALIDER S.A.,BAJA POR NO COMERCIALIZAR,EXEMESTANO,NO
LEFLUNOMIDA STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,LEFLUNOMIDA,NO
LANSOPRAZOL STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,LANSOPRAZOL,NO
CANDESARTAN VIATRIS,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,CANDESARTAN CILEXETILO,NO
ZOLMITRIPTAN FLAS COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,ZOLMITRIPTAN,NO
LEVOFLOXACINO TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,LEVOFLOXACINO HEMIHIDRATO,NO
ESTOMIL,MEDICAMENTO GENERICO,"MERCK, S.L",ALTA,LANSOPRAZOL,NO
CLOPIDOGREL PHARMA COMBIX ,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,CLOPIDOGREL,NO
TAIOMA,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,OXICODONA HIDROCLORURO,NO
ESOMEPRAZOL KRKA,MEDICAMENTO GENERICO,KRKA D.D. NOVO MESTO,ALTA,ESOMEPRAZOL MAGNESICO,NO
IMUKIN,MEDICAMENTO ETICA,CLINIGEN HEALTHCARE B.V.,ALTA,INTERFERON GAMMA-1B,NO
REPAGLINIDA AUROBINDO,MEDICAMENTO GENERICO,"AUROBINDO, S.L.U",BAJA GENERAL,REPAGLINIDA,NO
LEVOTIROXINA SODICA TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,LEVOTIROXINA SODICA,SI
BOLTIN,MEDICAMENTO ETICA,"ORGANON SALUD, S.L.",ALTA,TIBOLONA,SI
FLUCONAZOL TARBIS,MEDICAMENTO GENERICO,"TARBIS FARMA, S.L.",ALTA,FLUCONAZOL,NO
COPINAL,MEDICAMENTO ETICA,VIÑAS S.A.,ALTA,ACEXAMATO ZINC,NO
MONUROL,MEDICAMENTO GENERICO,ZAMBON S.A.U.,SUSPENSION TEMPORAL GENERAL,FOSFOMICINA TROMETAMOL,NO
LANSOPRAZOL TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,LANSOPRAZOL,NO
LANSOPRAZOL AUROVITAS SPAIN,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",ALTA,LANSOPRAZOL,NO
DILTIWAS RETARD,MEDICAMENTO ETICA,"ALFASIGMA ESPAÑA, S.L.",ALTA,DILTIAZEM HIDROCLORURO,SI
ESCITALOPRAM MEIJI,MEDICAMENTO GENERICO,"MEIJI PHARMA SPAIN, S.A.",ALTA,ESCITALOPRAM OXALATO,NO
CANDESARTAN/HIDROCLOROTIAZIDA STADA GENERICOS ,MEDICAMENTO GENERICO,"STADA GENERICOS, S.L",ALTA,"HIDROCLOROTIAZIDA,CANDESARTAN CILEXETILO",NO
CANDESARTAN/HIDROCLOROTIAZIDA FORTE STADA GENERICOS ,MEDICAMENTO GENERICO,"STADA GENERICOS, S.L",ALTA,"HIDROCLOROTIAZIDA,CANDESARTAN CILEXETILO",NO
BETMIGA,MEDICAMENTO ETICA,"ASTELLAS PHARMA, S.A",ALTA,MIRABEGRON,NO
CALCITONINA HUBBER,MEDICAMENTO ETICA,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,CALCITONINA SALMON SINTETICA,NO
DEXKETOPROFENO TARBIS,MEDICAMENTO GENERICO,"TARBIS FARMA, S.L.",ALTA,DEXKETOPROFENO TROMETAMOL,NO
DEXKETOPROFENO NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,DEXKETOPROFENO TROMETAMOL,NO
LEVOFLOXACINO ALMUS,MEDICAMENTO GENERICO,"ALMUS FARMACEUTICA, S.A.U.",ALTA,LEVOFLOXACINO HEMIHIDRATO,NO
GALANTAMINA RATIO,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,GALANTAMINA HIDROBROMURO,NO
PERINDOPRIL / INDAPAMIDA MYLAN,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,"PERINDOPRIL ERBUMINA,INDAPAMIDA",NO
RIZATRIPTAN FLAS KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,RIZATRIPTAN BENZOATO,NO
RIZATRIPTAN FLAS PENSA,MEDICAMENTO GENERICO,"TOWA PHARMACEUTICAL, S.A.",ALTA,RIZATRIPTAN BENZOATO,NO
VALSARTAN/HIDROCLOROTIAZIDA APOTEX,MEDICAMENTO GENERICO,"APOTEX ESPAÑA, S.L",BAJA GENERAL,"HIDROCLOROTIAZIDA,VALSARTAN",NO
